week_start,SKU_NO,sales
2020-01-06,P693,2
2020-01-06,P694,0
2020-01-06,P695,0
2020-01-06,P696,0
2020-01-06,P697,0
2020-01-06,P698,2
2020-01-06,P699,0
2020-01-06,P700,1
2020-01-06,P701,5
2020-01-06,P702,3
2020-01-06,P703,2
2020-01-06,P704,0
2020-01-06,P705,1
2020-01-06,P706,0
2020-01-06,P707,1
2020-01-06,P708,0
2020-01-06,P711,0
2020-01-06,P712,0
2020-01-06,P713,0
2020-01-06,P714,0
2020-01-06,P715,0
2020-01-06,P716,1
2020-01-06,P717,0
2020-01-06,P718,0
2020-01-06,P719,0
2020-01-06,P720,0
2020-01-06,P721,0
2020-01-06,P722,0
2020-01-06,P724,0
2020-01-06,P726,0
2020-01-06,P727,2
2020-01-06,P728,1
2020-01-06,P729,0
2020-01-06,P730,0
2020-01-06,P731,0
2020-01-06,P732,0
2020-01-06,P733,0
2020-01-06,P734,1
2020-01-06,P735,0
2020-01-06,P736,1
2020-01-06,P737,0
2020-01-06,P738,0
2020-01-06,P739,0
2020-01-06,P740,0
2020-01-06,P741,0
2020-01-06,P742,0
2020-01-06,P743,1
2020-01-06,P744,0
2020-01-06,P745,2
2020-01-06,P746,1
2020-01-06,P747,1
2020-01-06,P748,0
2020-01-06,P749,1
2020-01-06,P750,0
2020-01-06,P751,0
2020-01-06,P752,4
2020-01-06,P753,1
2020-01-06,P754,0
2020-01-06,P755,0
2020-01-06,P756,0
2020-01-06,P757,0
2020-01-06,P758,0
2020-01-06,P759,0
2020-01-06,P760,0
2020-01-06,P761,0
2020-01-06,P762,2
2020-01-06,P763,0
2020-01-06,P764,1
2020-01-06,P765,0
2020-01-06,P766,0
2020-01-06,P767,0
2020-01-06,P768,0
2020-01-06,P769,0
2020-01-06,P770,2
2020-01-06,P771,0
2020-01-06,P772,0
2020-01-06,P773,0
2020-01-06,P774,0
2020-01-06,P775,0
2020-01-06,P776,0
2020-01-06,P777,0
2020-01-06,P778,0
2020-01-06,P779,0
2020-01-06,P780,0
2020-01-06,P781,9
2020-01-06,P782,5
2020-01-06,P783,15
2020-01-06,P784,3
2020-01-06,P785,3
2020-01-06,P786,1
2020-01-06,P787,1
2020-01-06,P788,4
2020-01-06,P789,2
2020-01-06,P790,3
2020-01-06,P791,4
2020-01-06,P792,0
2020-01-06,P793,0
2020-01-06,P794,0
2020-01-06,P795,0
2020-01-06,P796,2
2020-01-06,P797,2
2020-01-06,P798,6
2020-01-06,P799,3
2020-01-06,P800,3
2020-01-06,P801,3
2020-01-06,P802,1
2020-01-06,P803,3
2020-01-06,P804,2
2020-01-06,P805,0
2020-01-06,P806,4
2020-01-06,P807,0
2020-01-06,P808,0
2020-01-06,P809,0
2020-01-06,P810,0
2020-01-06,P811,5
2020-01-06,P812,3
2020-01-06,P813,1
2020-01-06,P814,4
2020-01-06,P815,0
2020-01-06,P816,0
2020-01-06,P817,1
2020-01-06,P818,0
2020-01-06,P819,0
2020-01-13,P1,12
2020-01-13,P2,6
2020-01-13,P3,11
2020-01-13,P4,8
2020-01-13,P5,5
2020-01-13,P6,3
2020-01-13,P7,8
2020-01-13,P8,6
2020-01-13,P9,9
2020-01-13,P10,19
2020-01-13,P11,7
2020-01-13,P12,4
2020-01-13,P13,10
2020-01-13,P14,12
2020-01-13,P15,45
2020-01-13,P16,27
2020-01-13,P17,40
2020-01-13,P18,38
2020-01-13,P19,31
2020-01-13,P20,17
2020-01-13,P21,5
2020-01-13,P22,14
2020-01-13,P23,5
2020-01-13,P24,42
2020-01-13,P25,28
2020-01-13,P26,14
2020-01-13,P27,34
2020-01-13,P28,32
2020-01-13,P29,10
2020-01-13,P30,36
2020-01-13,P31,17
2020-01-13,P32,13
2020-01-13,P33,12
2020-01-13,P34,42
2020-01-13,P35,37
2020-01-13,P36,32
2020-01-13,P37,39
2020-01-13,P38,36
2020-01-13,P39,21
2020-01-13,P40,27
2020-01-13,P41,27
2020-01-13,P42,27
2020-01-13,P43,43
2020-01-13,P44,27
2020-01-13,P45,29
2020-01-13,P46,46
2020-01-13,P47,42
2020-01-13,P48,51
2020-01-13,P49,28
2020-01-13,P50,3
2020-01-13,P51,14
2020-01-13,P52,44
2020-01-13,P53,5
2020-01-13,P54,42
2020-01-13,P55,30
2020-01-13,P56,28
2020-01-13,P57,26
2020-01-13,P58,34
2020-01-13,P59,13
2020-01-13,P60,41
2020-01-13,P61,30
2020-01-13,P62,27
2020-01-13,P63,39
2020-01-13,P64,37
2020-01-13,P65,10
2020-01-13,P66,41
2020-01-13,P67,30
2020-01-13,P68,11
2020-01-13,P69,43
2020-01-13,P70,39
2020-01-13,P71,11
2020-01-13,P72,34
2020-01-13,P73,30
2020-01-13,P74,9
2020-01-13,P75,45
2020-01-13,P76,34
2020-01-13,P77,7
2020-01-13,P78,40
2020-01-13,P79,34
2020-01-13,P80,29
2020-01-13,P81,6
2020-01-13,P82,12
2020-01-13,P83,40
2020-01-13,P84,26
2020-01-13,P85,34
2020-01-13,P86,33
2020-01-13,P87,38
2020-01-13,P88,28
2020-01-13,P89,26
2020-01-13,P90,34
2020-01-13,P91,11
2020-01-13,P92,36
2020-01-13,P93,9
2020-01-13,P94,9
2020-01-13,P95,15
2020-01-13,P96,35
2020-01-13,P97,37
2020-01-13,P98,2
2020-01-13,P99,11
2020-01-13,P100,6
2020-01-13,P101,51
2020-01-13,P102,41
2020-01-13,P103,5
2020-01-13,P104,4
2020-01-13,P105,3
2020-01-13,P106,10
2020-01-13,P107,19
2020-01-13,P108,2
2020-01-13,P109,8
2020-01-13,P110,12
2020-01-13,P111,4
2020-01-13,P112,36
2020-01-13,P113,26
2020-01-13,P114,6
2020-01-13,P115,9
2020-01-13,P116,7
2020-01-13,P117,2
2020-01-13,P118,13
2020-01-13,P119,40
2020-01-13,P120,35
2020-01-13,P121,10
2020-01-13,P122,10
2020-01-13,P123,5
2020-01-13,P124,6
2020-01-13,P125,9
2020-01-13,P126,8
2020-01-13,P127,0
2020-01-13,P128,43
2020-01-13,P129,36
2020-01-13,P130,53
2020-01-13,P131,32
2020-01-13,P132,36
2020-01-13,P133,48
2020-01-13,P134,41
2020-01-13,P135,32
2020-01-13,P136,37
2020-01-13,P137,41
2020-01-13,P138,44
2020-01-13,P139,36
2020-01-13,P140,36
2020-01-13,P141,45
2020-01-13,P142,29
2020-01-13,P143,35
2020-01-13,P144,13
2020-01-13,P145,12
2020-01-13,P146,13
2020-01-13,P147,4
2020-01-13,P148,2
2020-01-13,P149,9
2020-01-13,P150,3
2020-01-13,P151,7
2020-01-13,P152,10
2020-01-13,P153,9
2020-01-13,P154,14
2020-01-13,P155,7
2020-01-13,P156,4
2020-01-13,P157,8
2020-01-13,P158,3
2020-01-13,P159,2
2020-01-13,P160,8
2020-01-13,P161,6
2020-01-13,P162,9
2020-01-13,P163,5
2020-01-13,P164,5
2020-01-13,P165,13
2020-01-13,P166,10
2020-01-13,P167,45
2020-01-13,P168,29
2020-01-13,P169,31
2020-01-13,P170,37
2020-01-13,P171,7
2020-01-13,P172,48
2020-01-13,P173,25
2020-01-13,P174,42
2020-01-13,P175,40
2020-01-13,P176,44
2020-01-13,P177,38
2020-01-13,P178,34
2020-01-13,P179,43
2020-01-13,P180,38
2020-01-13,P181,44
2020-01-13,P182,28
2020-01-13,P183,37
2020-01-13,P184,37
2020-01-13,P185,28
2020-01-13,P186,34
2020-01-13,P187,38
2020-01-13,P188,34
2020-01-13,P189,34
2020-01-13,P190,41
2020-01-13,P191,36
2020-01-13,P192,33
2020-01-13,P193,22
2020-01-13,P194,37
2020-01-13,P195,4
2020-01-13,P196,34
2020-01-13,P197,8
2020-01-13,P198,19
2020-01-13,P199,1
2020-01-13,P200,14
2020-01-13,P201,3
2020-01-13,P202,10
2020-01-13,P203,7
2020-01-13,P204,2
2020-01-13,P205,7
2020-01-13,P206,0
2020-01-13,P207,5
2020-01-13,P208,26
2020-01-13,P209,6
2020-01-13,P210,12
2020-01-13,P211,12
2020-01-13,P212,0
2020-01-13,P213,0
2020-01-13,P214,0
2020-01-13,P215,0
2020-01-13,P216,0
2020-01-13,P217,0
2020-01-13,P218,0
2020-01-13,P219,0
2020-01-13,P220,0
2020-01-13,P221,0
2020-01-13,P222,0
2020-01-13,P223,0
2020-01-13,P224,0
2020-01-13,P225,0
2020-01-13,P226,0
2020-01-13,P227,0
2020-01-13,P228,0
2020-01-13,P229,0
2020-01-13,P230,0
2020-01-13,P231,0
2020-01-13,P232,0
2020-01-13,P233,0
2020-01-13,P234,0
2020-01-13,P235,0
2020-01-13,P236,0
2020-01-13,P237,0
2020-01-13,P238,0
2020-01-13,P239,0
2020-01-13,P240,0
2020-01-13,P241,0
2020-01-13,P242,0
2020-01-13,P243,0
2020-01-13,P244,0
2020-01-13,P245,0
2020-01-13,P246,0
2020-01-13,P247,1
2020-01-13,P248,0
2020-01-13,P249,0
2020-01-13,P250,0
2020-01-13,P251,0
2020-01-13,P252,0
2020-01-13,P253,0
2020-01-13,P254,0
2020-01-13,P255,0
2020-01-13,P256,0
2020-01-13,P257,0
2020-01-13,P258,0
2020-01-13,P259,0
2020-01-13,P260,0
2020-01-13,P261,36
2020-01-13,P262,31
2020-01-13,P263,12
2020-01-13,P264,16
2020-01-13,P265,1
2020-01-13,P266,8
2020-01-13,P267,14
2020-01-13,P268,18
2020-01-13,P269,11
2020-01-13,P270,16
2020-01-13,P271,3
2020-01-13,P272,0
2020-01-13,P273,0
2020-01-13,P274,0
2020-01-13,P275,1
2020-01-13,P276,0
2020-01-13,P277,0
2020-01-13,P278,0
2020-01-13,P279,0
2020-01-13,P280,1
2020-01-13,P281,0
2020-01-13,P282,0
2020-01-13,P283,0
2020-01-13,P284,17
2020-01-13,P285,12
2020-01-13,P286,19
2020-01-13,P287,0
2020-01-13,P288,1
2020-01-13,P289,1
2020-01-13,P290,0
2020-01-13,P291,2
2020-01-13,P292,7
2020-01-13,P293,3
2020-01-13,P294,13
2020-01-13,P295,6
2020-01-13,P296,5
2020-01-13,P297,4
2020-01-13,P298,7
2020-01-13,P299,8
2020-01-13,P300,7
2020-01-13,P301,1
2020-01-13,P302,2
2020-01-13,P303,5
2020-01-13,P304,6
2020-01-13,P305,7
2020-01-13,P306,2
2020-01-13,P307,5
2020-01-13,P308,3
2020-01-13,P309,5
2020-01-13,P310,4
2020-01-13,P311,6
2020-01-13,P312,2
2020-01-13,P313,1
2020-01-13,P314,17
2020-01-13,P315,7
2020-01-13,P316,5
2020-01-13,P317,3
2020-01-13,P318,5
2020-01-13,P319,4
2020-01-13,P320,5
2020-01-13,P321,6
2020-01-13,P322,5
2020-01-13,P323,7
2020-01-13,P324,11
2020-01-13,P325,6
2020-01-13,P326,11
2020-01-13,P327,5
2020-01-13,P328,6
2020-01-13,P329,6
2020-01-13,P330,4
2020-01-13,P331,6
2020-01-13,P332,14
2020-01-13,P333,9
2020-01-13,P334,13
2020-01-13,P335,4
2020-01-13,P336,3
2020-01-13,P337,6
2020-01-13,P338,2
2020-01-13,P339,0
2020-01-13,P340,0
2020-01-13,P341,1
2020-01-13,P342,2
2020-01-13,P343,0
2020-01-13,P344,2
2020-01-13,P345,3
2020-01-13,P346,0
2020-01-13,P347,0
2020-01-13,P348,0
2020-01-13,P349,0
2020-01-13,P350,0
2020-01-13,P351,0
2020-01-13,P352,0
2020-01-13,P354,0
